t; alpha; omega
274; 3.1399988; 0.0000028
275; 3.1399990; 0.0000026
276; 3.1399993; 0.0000024
277; 3.1399995; 0.0000022
278; 3.1399997; 0.0000020
279; 3.1399999; 0.0000018
280; 3.1400001; 0.0000016
281; 3.1400003; 0.0000015
282; 3.1400004; 0.0000013
283; 3.1400005; 0.0000012
284; 3.1400006; 0.0000010
285; 3.1400007; 0.0000009
286; 3.1400008; 0.0000008
287; 3.1400009; 0.0000006
288; 3.1400009; 0.0000005
289; 3.1400010; 0.0000004
290; 3.1400010; 0.0000003
291; 3.1400011; 0.0000003
292; 3.1400011; 0.0000002
293; 3.1400011; 0.0000001
294; 3.1400011; 0.0000000
295; 3.1400011; -0.0000000
296; 3.1400011; -0.0000001
297; 3.1400011; -0.0000001
298; 3.1400011; -0.0000002
299; 3.1400010; -0.0000002
300; 3.1400010; -0.0000002
301; 3.1400010; -0.0000003
302; 3.1400010; -0.0000003
303; 3.1400009; -0.0000003
304; 3.1400009; -0.0000003
305; 3.1400009; -0.0000003
306; 3.1400008; -0.0000004
307; 3.1400008; -0.0000004
308; 3.1400008; -0.0000004
309; 3.1400007; -0.0000004
310; 3.1400007; -0.0000004
311; 3.1400007; -0.0000004
312; 3.1400006; -0.0000004
313; 3.1400006; -0.0000004
314; 3.1400005; -0.0000004
315; 3.1400005; -0.0000004
316; 3.1400005; -0.0000003
317; 3.1400004; -0.0000003
318; 3.1400004; -0.0000003
319; 3.1400004; -0.0000003
320; 3.1400003; -0.0000003
321; 3.1400003; -0.0000003
322; 3.1400003; -0.0000003
323; 3.1400003; -0.0000003
324; 3.1400002; -0.0000003
325; 3.1400002; -0.0000002
326; 3.1400002; -0.0000002
327; 3.1400002; -0.0000002
328; 3.1400001; -0.0000002
329; 3.1400001; -0.0000002
330; 3.1400001; -0.0000002
331; 3.1400001; -0.0000002
332; 3.1400001; -0.0000002
333; 3.1400001; -0.0000001
334; 3.1400000; -0.0000001
335; 3.1400000; -0.0000001
336; 3.1400000; -0.0000001
337; 3.1400000; -0.0000001
338; 3.1400000; -0.0000001
339; 3.1400000; -0.0000001
340; 3.1400000; -0.0000001
341; 3.1400000; -0.0000001
342; 3.1400000; -0.0000001
343; 3.1400000; -0.0000001
344; 3.1400000; -0.0000000
345; 3.1400000; -0.0000000
346; 3.1400000; -0.0000000
347; 3.1400000; -0.0000000
348; 3.1399999; -0.0000000
349; 3.1399999; -0.0000000
350; 3.1399999; -0.0000000
351; 3.1399999; -0.0000000
352; 3.1399999; -0.0000000
353; 3.1399999; -0.0000000
354; 3.1399999; 0.0000000
355; 3.1399999; 0.0000000
356; 3.1399999; 0.0000000
357; 3.1399999; 0.0000000
358; 3.1399999; 0.0000000
359; 3.1399999; 0.0000000
360; 3.1399999; 0.0000000
361; 3.1400000; 0.0000000
362; 3.1400000; 0.0000000
363; 3.1400000; 0.0000000
364; 3.1400000; 0.0000000
365; 3.1400000; 0.0000000
366; 3.1400000; 0.0000000
367; 3.1400000; 0.0000000
368; 3.1400000; 0.0000000
369; 3.1400000; 0.0000000
370; 3.1400000; 0.0000000
371; 3.1400000; 0.0000000
372; 3.1400000; 0.0000000
373; 3.1400000; 0.0000000
374; 3.1400000; 0.0000000
375; 3.1400000; 0.0000000
376; 3.1400000; 0.0000000
377; 3.1400000; 0.0000000
378; 3.1400000; 0.0000000
379; 3.1400000; 0.0000000
380; 3.1400000; 0.0000000
381; 3.1400000; 0.0000000
382; 3.1400000; 0.0000000
383; 3.1400000; 0.0000000
384; 3.1400000; 0.0000000
385; 3.1400000; 0.0000000
386; 3.1400000; 0.0000000
387; 3.1400000; 0.0000000
388; 3.1400000; 0.0000000
389; 3.1400000; 0.0000000
390; 3.1400000; 0.0000000
391; 3.1400000; 0.0000000
392; 3.1400000; 0.0000000
393; 3.1400000; 0.0000000
394; 3.1400000; 0.0000000
395; 3.1400000; 0.0000000
396; 3.1400000; 0.0000000
397; 3.1400000; 0.0000000
398; 3.1400000; 0.0000000
399; 3.1400000; 0.0000000
400; 3.1400000; 0.0000000
401; 3.1400000; 0.0000000
402; 3.1400000; 0.0000000
403; 3.1400000; 0.0000000
404; 3.1400000; 0.0000000
405; 3.1400000; 0.0000000
406; 3.1400000; 0.0000000
407; 3.1400000; 0.0000000
408; 3.1400000; 0.0000000
409; 3.1400000; 0.0000000
410; 3.1400000; 0.0000000
411; 3.1400000; 0.0000000
412; 3.1400000; 0.0000000
413; 3.1400000; -0.0000000
414; 3.1400000; -0.0000000
415; 3.1400000; -0.0000000
416; 3.1400000; -0.0000000
417; 3.1400000; -0.0000000
418; 3.1400000; -0.0000000
419; 3.1400000; -0.0000000
420; 3.1400000; -0.0000000
421; 3.1400000; -0.0000000
422; 3.1400000; -0.0000000
423; 3.1400000; -0.0000000
424; 3.1400000; -0.0000000
425; 3.1400000; -0.0000000
426; 3.1400000; -0.0000000
427; 3.1400000; -0.0000000
428; 3.1400000; -0.0000000
429; 3.1400000; -0.0000000
430; 3.1400000; -0.0000000
431; 3.1400000; -0.0000000
432; 3.1400000; -0.0000000
433; 3.1400000; -0.0000000
434; 3.1400000; -0.0000000
435; 3.1400000; -0.0000000
436; 3.1400000; -0.0000000
437; 3.1400000; -0.0000000
438; 3.1400000; -0.0000000
439; 3.1400000; -0.0000000
440; 3.1400000; -0.0000000
441; 3.1400000; -0.0000000
442; 3.1400000; -0.0000000
443; 3.1400000; -0.0000000
444; 3.1400000; -0.0000000
445; 3.1400000; -0.0000000
446; 3.1400000; -0.0000000
447; 3.1400000; -0.0000000
448; 3.1400000; -0.0000000
449; 3.1400000; -0.0000000
450; 3.1400000; -0.0000000
451; 3.1400000; -0.0000000
452; 3.1400000; -0.0000000
453; 3.1400000; -0.0000000
454; 3.1400000; -0.0000000
455; 3.1400000; -0.0000000
456; 3.1400000; -0.0000000
457; 3.1400000; -0.0000000
458; 3.1400000; -0.0000000
459; 3.1400000; -0.0000000
460; 3.1400000; -0.0000000
461; 3.1400000; -0.0000000
462; 3.1400000; -0.0000000
463; 3.1400000; -0.0000000
464; 3.1400000; -0.0000000
465; 3.1400000; -0.0000000
466; 3.1400000; -0.0000000
467; 3.1400000; -0.0000000
468; 3.1400000; -0.0000000
469; 3.1400000; -0.0000000
470; 3.1400000; -0.0000000
471; 3.1400000; -0.0000000
472; 3.1400000; 0.0000000
